ROUTE,ZONE_1_KM,ZONE_1_FACTOR,ZONE_2_KM,ZONE_2_FACTOR,ZONE_3_KM,ZONE_3_FACTOR,ZONE_4_KM,ZONE_4_FACTOR,ZONE_5_KM,ZONE_5_FACTOR,ZONE_6_KM,ZONE_6_FACTOR,ZONE_7_KM,ZONE_7_FACTOR,ZONE_8_KM,ZONE_8_FACTOR,ZONE_9_KM,ZONE_9_FACTOR
LIS-PMI,1002,10.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,103,1.03,0,0.0,0,0.0
MAD-LHR,444,4.44,0,0.0,778,7.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FUE-SVQ,466,4.66,777,7.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BCN-FUE,881,8.81,1299,12.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MAD-VGO,677,6.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TFN-LGW,703,7.03,1000,10.0,904,9.04,0,0.0,310,3.1,0,0.0,0,0.0,0,0.0,0,0.0
AMS-PMI,400,4.0,0,0.0,754,7.54,155,1.55,0,0.0,147,1.47,0,0.0,0,0.0,0,0.0
MAD-TXL,500,5.0,0,0.0,730,7.3,0,0.0,0,0.0,0,0.0,0,0.0,554,5.54,0,0.0
PMI-NAP,455,4.55,0,0.0,430,4.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,88,0.88
VGO-LPA,99,0.99,977,9.77,0,0.0,0,0.0,0,0.0,0,0.0,622,6.22,0,0.0,0,0.0
SVQ-AMS,700,7.0,0,0.0,886,8.86,155,1.55,0,0.0,126,1.26,0,0.0,0,0.0,0,0.0
ACE-SVQ,357,3.57,967,9.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ACE-MAD,566,5.66,899,8.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TXL-PMI,350,3.5,0,0.0,887,8.87,0,0.0,0,0.0,0,0.0,0,0.0,799,7.99,0,0.0
ACE-CDG,780,7.8,678,6.78,880,8.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BCN-VGO,803,8.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ACE-LGW,977,9.77,992,9.92,754,7.54,0,0.0,250,2.5,0,0.0,0,0.0,0,0.0,0,0.0
LGW-ACE,1260,12.6,680,6.8,799,7.99,0,0.0,120,1.2,0,0.0,0,0.0,0,0.0,0,0.0
LIS-NAP,1422,14.22,0,0.0,311,3.11,0,0.0,0,0.0,0,0.0,200,2.0,0,0.0,201,2.01
BCN-TXL,233,2.33,0,0.0,788,7.88,0,0.0,0,0.0,0,0.0,0,0.0,544,5.44,0,0.0
